正式法令名,略称法令名１,略称法令名２,略称法令名３,略称法令名４,略称法令名５
明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）,記名の国債を目的とする質権の設定に関する法律,,,,
明治三十二年大蔵省令第二十二号（英国倫敦ニ於テ募集スル公債ニ関スル手続方法）,英国倫敦に於て募集する公債に関する手続方法,,,,
明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,行旅病人死亡人等の引取及費用弁償に関する件,,,,
明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,商法第七百九条に規定する属具目録の書式の件,,,,
明治三十二年逓信省令第二十号（商法施行法第百二十二条ノ規定ニ依ル湖川、港湾及沿岸小航海ノ範囲ニ関スル件）,商法施行法第百二十二条の規定に依る湖川、港湾及沿岸小航海の範囲に関する件,,,,
明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）,外国人の署名捺印及無資力証明に関する法律,,,,
明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,失火責任法,失火の責任に関する法律,,,
明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）,国債を外国に於て募集する場合に関する法律,,,,
明治三十八年外務省令第一号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,明治三十八年法律第六十六号の官没に関する手続,,,,
明治三十八年大蔵省令第五十一号（印紙貼用方ノ件）,印紙貼用方の件,,,,
明治三十八年内務省令第二号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,明治三十八年法律第六十六号の官没に関する手続,,,,
明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）,外貨偽造法,外国に於て流通する貨幣紙幣銀行券証券偽造変造及模造に関する法律,,,
明治四十一年勅令第二百十七号（刑法施行前ニ公布シタル命令ニ関スル件）,刑法施行前に公布したる命令に関する件,,,,
明治四十一年勅令第二百八十七号（政府ニ納ムヘキ保証金其ノ他ノ担保ニ充用スル国債ノ価格ニ関スル件）,政府に納むへき保証金其の他の担保に充用する国債の価格に関する件,,,,
明治四十一年内務省令第十三号（水害予防組合法ニ依ル予算調製ノ式及費目流用其ノ他財務ニ関スル件）,水害予防組合法に依る予算調製の式及費目流用其の他財務に関する件,,,,
明治四十五年逓信省令第三十三号（船舶積量互認ノ件ニ関シ帝国政府ト和蘭国政府トノ間ニ取極ヲ為シタル条規）,船舶積量互認の件に関し帝国政府と和蘭国政府との間に取極を為したる条規,,,,
明治四十三年法律第五十六号（立木ノ先取特権ニ関スル法律）,立木の先取特権に関する法律,,,,
明治四十二年大蔵省令第二十八号（印紙犯罪処罰法第五条ノ官没手続）,印紙犯罪処罰法第五条の官没手続,,,,
明治四十二年勅令第百二十号（刑法施行後施行ノ命令ニ掲ケタル刑法ノ刑名ニ関スル件）,刑法施行後施行の命令に掲けたる刑法の刑名に関する件,,,,
明治四十二年内務省令第十三号（印紙犯罪処罰法第五条ノ官没手続）,印紙犯罪処罰法第五条の官没手続,,,,
明治四十二年法律第九号（政府ニ対スル保証金其ノ他ノ担保ニ供シタル国債ノ買入銷却ニ関スル法律）,政府に対する保証金其の他の担保に供したる国債の買入銷却に関する法律,,,,
明治四十二年法律第二十二号（立木ニ関スル法律）,立木法,立木に関する法律,,,
明治四十二年法律第二十八号（軌道ノ抵当ニ関スル法律）,軌道の抵当に関する法律,,,,
明治四十二年法律第八号（登録国債ノ担保充用ニ関スル法律）,登録国債の担保充用に関する法律,,,,
明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,本初子午線経度計算方及標準時の件,,,,
明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,大勲位菊花大綬章及副章製式の件,,,,
明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）,宝冠章及大勲位菊花章頸飾に関する件,,,,
明治二十五年閣令第四号（各庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）,各庁に於て公務上在外公使領事を煩はすとき外務大臣へ照会の件,,,,
明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,政府が第三債務者として差押へられたる債務額の仕払停止仕払執行及供託に関する手続,,,,
明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,大婚二十五年祝典之章制定の件,,,,
明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,帝国憲法発布記念章制定の件,,,,
明治二十二年法律第三十四号（決闘罪ニ関スル件）,決闘罪に関する件,,,,
明治二十八年勅令第百六十七号（標準時ニ関スル件）,標準時に関する件,,,,
明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,政府の債務に対し差押命令を受くる場合に於ける会計上の規程,,,,
明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,不用物品等払下のとき其管庁所属の官吏入札禁止の件,,,,
明治八年太政官布告第五十四号（勲章制定ノ件）,勲章制定の件,,,,
明日香村における歴史的風土の保存及び生活環境の整備等に関する特別措置法,明日香保存法,,,,
明日香村における歴史的風土の保存及び生活環境の整備等に関する特別措置法施行令,明日香保存法施行令,,,,
木材の安定供給の確保に関する特別措置法,木材安定供給確保特別措置法,,,,
木材の安定供給の確保に関する特別措置法施行規則,木材安定供給確保特別措置法施行規則,,,,
木材の安定供給の確保に関する特別措置法施行令,木材安定供給確保特別措置法施行令,,,,
有機農業の推進に関する法律,有機農業推進法,,,,
郵便貯金法等の一部を改正する法律の施行に伴う経過措置を定める政令,郵貯法等の一部を改正する法律の施行に伴う経過措置を定める政令,,,,
予算決算及び会計令,予決令,,,,
予算決算及び会計令第三十七条に規定する財務大臣の定める日を定める省令,予決令徴収総報告書の送付日省令,,,,
預金保険法,預保法,,,,
預金保険法施行規則,預保法施行規則,,,,
預金保険法施行令,預保法施行令,,,,
預金保険法第五十八条の三第一項に規定する措置に関する内閣府令,預保法に規程する措置に関する内閣府令,,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律,容器包装リサイクル法,,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律施行規則,容器包装リサイクル法施行規則,,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律施行令,容器包装リサイクル法施行令,,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律第三十五条の規定に基づく市町村長の申出に関する省令,容器包装リサイクル法市町村長の申出省令,,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律第二条第十項第一号に規定する委託の範囲を定める省令,容器包装リサイクル法委託の範囲省令,,,,
流通業務の総合化及び効率化の促進に関する法律,物流総合効率化法,,,,
流通業務の総合化及び効率化の促進に関する法律施行規則,物流総合効率化法施行規則,,,,
流通業務の総合化及び効率化の促進に関する法律施行令,物流総合効率化法施行令,,,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律,ＪＲ会社法,,,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律の一部を改正する法律の施行に伴う経過措置を定める政令,ＪＲ会社法経過措置政令,,,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律施行規則,ＪＲ会社法施行規則,,,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律施行令,ＪＲ会社法施行令,,,,
領海及び接続水域に関する法律,領海法,,,,
領海及び接続水域に関する法律施行令,領海法施行令,,,,
連結財務諸表の用語、様式及び作成方法に関する規則,連結財務諸表規則,,,,
労働基準法,労基法,,,,
労働基準法の一部を改正する法律の施行に伴う年次有給休暇に関する経過措置に関する政令,労基法一部改正法施行に伴う年休経過措置政令,,,,
労働基準法の一部を改正する法律附則第六条第三項の職業及び日を定める省令,労基法一部改正法附則職業及び日を定める省令,,,,
労働基準法の災害補償に相当する給付に関する法令を指定する省令,労基法災害補償の相当給付に関する法令指定省令,,,,
労働基準法施行規則,労基法施行規則,,,,
労働基準法第三十七条第一項の時間外及び休日の割増賃金に係る率の最低限度を定める政令,労基法時間外及び休日割増賃金率最低限度政令,,,,
労働基準法第七十六条第二項の規定による常時百人未満の労働者を使用する事業場に使用される労働者に対して行う休業補償の額の改訂及び改訂後の休業補償の額の改訂の方法の特例に関する省令,労基法常時百人未満事業場労働者休業補償額の改訂及び改訂後の休業補償額の改訂方法特例省令,,,,
労働基準法第十八条第四項の規定に基づき使用者が労働者の預金を受け入れる場合の利率を定める省令,労基法労働者預金受入利率を定める省令,,,,
労働者災害補償保険法,労災法,,,,
労働者災害補償保険法施行規則,労災法施行規則,,,,
労働者災害補償保険法施行令,労災法施行令,,,,
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律,労働者派遣法,人材派遣法,,,
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,労働者派遣法施行規則,人材派遣法施行規則,,,
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行令,労働者派遣法施行令,人材派遣法施行令,,,
